#META|ref=04/2026|gerado=2026-07-21|fonte=SUDECAP
01.09.19|CONTAINER VESTIÁRIO TIPO II|MES
01.09.20|CONTAINER VESTIÁRIO TIPO III|MES
01.09.21|CONTAINER SIMPLES|MES
01.09.22|CONTAINER COM LAVATÓRIO|MES
01.09.23|CONTAINER COM SANITÁRIO|MES
01.09.24|INSTALAÇÕES DE MOBILIÁRIOS PARA CONTAINER VESTIÁRIO TIPO I|UN
01.09.25|INSTALAÇÕES DE MOBILIÁRIOS PARA CONTAINER VESTIÁRIO TIPO II|UN
01.09.26|INSTALAÇÕES DE MOBILIÁRIOS PARA CONTAINER VESTIÁRIO TIPO III|UN
01.09.27|CONTAINER PARA 2 VESTIÁRIOS E SANITÁRIOS|MES
01.10.01|BANHEIRO QUÍMICO 110 X 120 X 230CM COM MANUTENÇÃO|MES
01.10.02|BANHEIRO QUÍMICO E REBOQUE PARA TRANSPORTE DE BANHEIRO QUÍMICO|MES
01.11.01|PLACA 1,0 X 0,60M DUPLA FACE CHAPA GALVANIZADA 26 EM CAVALETE|UNMES
01.11.02|PLACA 1,0 X 0,60M CHAPA 26 EM CAVALETE METALON 20 X 20MM|UNMES
01.11.03|PLACA 0,50 X 0,50M DUPLA FACE CHAPA GALVANIZADA 22 EM CAVALETE|UNMES
01.11.04|PLACA 0,50 X 0,50M CHAPA GALVANIZADA 22 CAVALETE METALON 20 X 20|UNMES
01.11.05|INSTALAÇÃO DE FAIXA MORIM 6,00M X 0,80M EM TECIDO COMUM E EUCALIPTO|UN
01.11.06|SINALIZAÇÃO COM CONE MASTER 75CM BASE DE BORRACHA CORPO POLIETILENO|UN
01.11.07|SINALIZAÇÃO COM CONE EM PVC H= 75CM|UN
01.11.08|SINALIZADOR MONOLIGHT LED 60 A 70 FLASHES/MINUTO|UN
01.12.01|VISTORIA CAUTELAR - ÁREA CONSTRUÍDA <= 100M2|UN
01.12.02|VISTORIA CAUTELAR - 101M2 < ÁREA CONSTRUÍDA <= 200M2|UN
